dead shadow mummy,dead shadow mummy,mummyX.bgf
Slime is Monster,dead slime,amoeba.bgf
SnowRat is Monster,dead snow rat,srat.bgf
DukeTroop is Monster,dead soldier,playerXa.bgf|playerXb.bgf
SpectralMummy is Monster,dead spectral mummy,mummy.bgf
DeathSpider is Monster,dead spider,spidmagc.bgf
Spider is Monster,dead spider,spider.bgf
StoneTroll is Monster,dead stone troll,trollX.bgf
dead te'xeochicatl,dead te'xeochicatl,xeoX.bgf
Thrasher is Monster,dead thrasher,res0001a.bgf
dead town guard,dead town guard,playerXa.bgf|playerXb.bgf
Troll is Monster,dead troll,troll.bgf
dead tusked skeleton,dead tusked skeleton,skelX.bgf
dead ve'xeochicatl,dead ve'xeochicatl,xeoX.bgf
Yeti is Monster,dead yeti,yeti.bgf
EvilEnt is Monster,diseased tree,res0003a.bgf
DragonFly is Monster,dragonfly,dfly.bgf
DragonFlyQueen is Monster,dragonfly queen,dflo.bgf
DuskRat is Monster,dusk rat,rat.bgf
EvilTwin is Monster,evil twin,btg.bgf|bfg.bgf|blg.bgf|brg.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
FactionTroop is Monster,faction troop,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
Ghost is Monster,far'nohl kotezleoc,ghost.bgf
EvilFairy is Monster,fey dirhai,faerie-e.bgf
Fairy is Monster,fey elhai,faerie-g.bgf
AvarChieftain is Monster,former avar chieftain,avchief.bgf
Frogman is Monster,frogman,frogman.bgf
FungusBeast is Monster,fungus beast,fungbst.bgf
Ghost is Monster,ghost,ghost.bgf
Ghost is Monster,ghost of Far'Nohl,ghost.bgf
DeadLich is Monster,ghostly remains of Queen Venya'cyr,lichax.bgf
GiantRat is Monster,giant rat,rat.bgf
Scorpion is Monster,giant scorpion,scorp.bgf
GroundWorm is Monster,groundworm,wormm.bgf
groundworm larva,groundworm larva,worms.bgf
groundworm queen,groundworm queen,worml.bgf
Guard is Monster,guard cow,cow.bgf
StoneTroll is Monster,Guardian of Zjiria,Troll.bgf
StoneTroll is Monster,ha'humoch,Troll.bgf
OrcPitBossBody is Monster,headless orc pit boss body,OrcPitbX.bgf
flytrap is Monster,hedged man-eating plant,ent.bgf
Troll is Monster,humoch,troll.bgf
DragonFly is Monster,huzotz,dfly.bgf
Iceperson is Monster,ice creature,iceper_feet.bgf|iceper_torso.bgf|iceper_rightarm.bgf|iceper_sword.bgf
SpiderBaby is Monster,imixkinich,spdrby.bgf
RedAnt is Monster,kawilkinich,antr.bgf
Slime is Monster,kinachot,amoeba.bgf
Fairy is Monster,kinimixlal,faerie-g.bgf
Scorpion is Monster,kinkauikinich,scorp.bgf
AvarChieftain is Monster,koavar,avchief.bgf
DragonFlyQueen is Monster,kohuzotz,dflo.bgf
SpiderQueen is Monster,kokinich,spdrqu.bgf
MolluskMonster is Monster,kolisith,mollusk.bgf
SpectralMummy is Monster,kosnapleoc,mummy.bgf
OrcPitBoss is Monster,koutom,OrcPitB.bgf
Kriipa is Monster,kriipa,kriipa.bgf
AvarChieftain is Monster,kyip-kyip-kreeet avar chieftain,avchief.bgf
AvarShaman is Monster,kyip-kyip-kreeet avar shaman,avsham.bgf
Avar is Monster,kyip-kyip-kreeet avar warrior,avwar.bgf
LivingStatue is Monster,living statue,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
Ent is Monster,living tree,res0003a.bgf
Lupogg is Monster,lupogg,lupogg.bgf
LupoggKing is Monster,lupogg king,lupking.bgf
flytrap is Monster,Man-eating Plant,ent.bgf
ma'xeochicatl,ma'xeochicatl,xeo.bgf
Iceperson is Monster,melting ice,iceperX.bgf
MolluskMonster is Monster,mollusk creature,mollusk.bgf
Mummy is Monster,mummy,mummy.bgf
RedAnt is Monster,mutant ant,antr.bgf
DeathSpider is Monster,na'arkinich,spidmagc.bgf
Cow is Monster,nahyijoa,cow.bgf
Mummy is Monster,napleoc,mummy.bgf
GiantRat is Monster,napyijoa,rat.bgf
NarthylWorm is Monster,narthyl worm,darkbeas.bgf
NecromancerTroop is FactionTroop,necromancer,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
Orc is Monster,orc,orc.bgf
OrcPitBoss is Monster,orc pit boss,OrcPitB.bgf
OrcWizard is Monster,orc wizard,orcwiza.bgf
DarkAngel is Monster,ozangelis,angel.bgf
Brambles is Monster,patch of bramble,wothorns.bgf
AvarChieftain is Monster,peet-seeeep avar chieftain,avchief.bgf
AvarShaman is Monster,peet-seeeep avar shaman,avsham.bgf
Avar is Monster,peet-seeeep avar warrior,avwar.bgf
DragonFlyPet is Monster,pet dragonfly,dflypet.bgf
Skeleton is Monster,pile of bones,skelbody.bgf
Priestess is Monster,priestess,priestes.bgf
Centipede is Monster,puuckinich,centip.bgf
FungusBeast is Monster,puucmecmoch,fungbst.bgf
SpiderQueen is Monster,queen spider,spdrqu.bgf
Lich is Monster,Queen Venya'cyr,licha.bgf
RebelTroop is FactionTroop,rebel soldier,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
Reflection is Monster,reflection,btg.bgf
Revenant is Monster,revenant,zombie.bgf
ro'xeochicatl,ro'xeochicatl,xeo.bgf
shadow mummy,shadow mummy,mummy.bgf
Shadowbeast is Monster,shadowbeast,shadow.bgf
SnowRat is Monster,shonapyijoa,srat.bgf
Skeleton is Monster,skeleton,skelbody.bgf|skelhed2.bgf
Avar is Monster,slain avar,avwar.bgf
GroundWorm is Monster,slain groundworm,wormm.bgf
Kriipa is Monster,slain Kriipa,kriipa.bgf
MolluskMonster is Monster,slain mollusk creature,mollusk.bgf
Shadowbeast is Monster,slain shadowbeast,shadow.bgf
Slime is Monster,slime,amoeba.bgf
GroundWorm is Monster,slithic,wormm.bgf
SnowRat is Monster,snow rat,srat.bgf
DukeTroop is FactionTroop,soldier of the Duke's army,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
PrincessTroop is FactionTroop,soldier of the Princess' army,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
SpectralMummy is Monster,spectral mummy,mummy.bgf
Spider is Monster,spider,spider.bgf
LivingStatue is Monster,statue,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
StoneTroll is Monster,stone troll,Troll.bgf
Guard is Monster,tanahyijoa,cow.bgf
EvilEnt is Monster,teotezmecya,res0003a.bgf
EvilFairy is Monster,teotimixlal,faerie-e.bgf
Thrasher is Monster,teotixleoc,res0001a.bgf
Spider is Monster,teotkauilkinich,spider.bgf
Shadowbeast is Monster,teotkriipa,shadow.bgf
DuskRat is Monster,teotnapyijoa,rat.bgf
NarthylWorm is Monster,tepna'arthyl,darkbeas.bgf
te'xeochicatl,te'xeochicatl,xeo.bgf
Lupogg is Monster,tez,lupogg.bgf
Yeti is Monster,tezatzmoch,yeti.bgf
Ent is Monster,tezmecya,res0003a.bgf
Lich is Monster,The ghost of Queen Venya'cyr,licha.bgf
Brambles is Monster,the ruins of some bramble,wothorns.bgf
the town guard,the town guard,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
Thief is Monster,Thief,thiefT.bgf
Thrasher is Monster,thrasher,res0001a.bgf
town guard,town guard,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
Troll is Monster,troll,troll.bgf
tusked skeleton,tusked skeleton,skelbody.bgf|skelhed1.bgf
CaveOrc is Monster,utom,OrcCave.bgf
Orc is Monster,utomca,orc.bgf
OrcWizard is Monster,utomya,orcwiza.bgf
ve'xeochicatl,ve'xeochicatl,xeo.bgf
DragonFlyPet is Monster,vo'huzotz,dflypet.bgf
Yeti is Monster,yeti,yeti.bgf
Ant is Monster,yokinich,ant.bgf
Frogman is Monster,yozotz,frogman.bgf
Zombie is Monster,zombie,zombie.bgf
