Frogman is Monster,frogman
FungusBeast is Monster,fungus beast
Ghost is Monster,ghost
Ghost is Monster,ghost of Far'Nohl
DeadLich is Monster,ghostly remains of Queen Venya'cyr
GiantRat is Monster,giant rat
Scorpion is Monster,giant scorpion
GroundWorm is Monster,groundworm
groundworm larva,groundworm larva
groundworm queen,groundworm queen
Guard is Monster,guard cow
StoneTroll is Monster,Guardian of Zjiria
StoneTroll is Monster,ha'humoch
OrcPitBossBody is Monster,headless orc pit boss body
flytrap is Monster,hedged man-eating plant
Troll is Monster,humoch
DragonFly is Monster,huzotz
Iceperson is Monster,ice creature
SpiderBaby is Monster,imixkinich
RedAnt is Monster,kawilkinich
Slime is Monster,kinachot
Fairy is Monster,kinimixlal
Scorpion is Monster,kinkauikinich
AvarChieftain is Monster,koavar
DragonFlyQueen is Monster,kohuzotz
SpiderQueen is Monster,kokinich
MolluskMonster is Monster,kolisith
SpectralMummy is Monster,kosnapleoc
OrcPitBoss is Monster,koutom
Kriipa is Monster,kriipa
kyip-kyip-kreeet avar chieftain,kyip-kyip-kreeet avar chieftain
kyip-kyip-kreeet avar shaman,kyip-kyip-kreeet avar shaman
kyip-kyip-kreeet avar warrior,kyip-kyip-kreeet avar warrior
LivingStatue is Monster,living statue
Ent is Monster,living tree
Lupogg is Monster,lupogg
LupoggKing is Monster,lupogg king
flytrap is Monster,Man-eating Plant
ma'xeochicatl,ma'xeochicatl
Iceperson is Monster,melting ice
MolluskMonster is Monster,mollusk creature
Mummy is Monster,mummy
RedAnt is Monster,mutant ant
DeathSpider is Monster,na'arkinich
Cow is Monster,nahyijoa
Mummy is Monster,napleoc
GiantRat is Monster,napyijoa
NarthylWorm is Monster,narthyl worm
NecromancerTroop is FactionTroop,necromancer
Orc is Monster,orc
OrcPitBoss is Monster,orc pit boss
OrcWizard is Monster,orc wizard
DarkAngel is Monster,ozangelis
Brambles is Monster,patch of bramble
AvarChieftain is Monster,peet-seeeep avar chieftain
AvarShaman is Monster,peet-seeeep avar shaman
Avar is Monster,peet-seeeep avar warrior
DragonFlyPet is Monster,pet dragonfly
Skeleton is Monster,pile of bones
Priestess is Monster,priestess
Centipede is Monster,puuckinich
FungusBeast is Monster,puucmecmoch
SpiderQueen is Monster,queen spider
Lich is Monster,Queen Venya'cyr
Lich is Monster,Queen Venya'cyr
RebelTroop is FactionTroop,rebel soldier
Reflection is Monster,reflection
Revenant is Monster,revenant
ro'xeochicatl,ro'xeochicatl
shadow mummy,shadow mummy
Shadowbeast is Monster,shadowbeast
SnowRat is Monster,shonapyijoa
Skeleton is Monster,skeleton
Avar is Monster,slain avar
GroundWorm is Monster,slain groundworm
Kriipa is Monster,slain Kriipa
MolluskMonster is Monster,slain mollusk creature
Shadowbeast is Monster,slain shadowbeast
Slime is Monster,slime
GroundWorm is Monster,slithic
SnowRat is Monster,snow rat
DukeTroop is FactionTroop,soldier of the Duke's army
PrincessTroop is FactionTroop,soldier of the Princess' army
SpectralMummy is Monster,spectral mummy
Spider is Monster,spider
LivingStatue is Monster,statue
StoneTroll is Monster,stone troll
Guard is Monster,tanahyijoa
EvilEnt is Monster,teotezmecya
EvilFairy is Monster,teotimixlal
Thrasher is Monster,teotixleoc
Spider is Monster,teotkauilkinich
Shadowbeast is Monster,teotkriipa
DuskRat is Monster,teotnapyijoa
NarthylWorm is Monster,tepna'arthyl
te'xeochicatl,te'xeochicatl
Lupogg is Monster,tez
Yeti is Monster,tezatzmoch
Ent is Monster,tezmecya
Lich is Monster,The ghost of Queen Venya'cyr
Brambles is Monster,the ruins of some bramble
the town guard,the town guard
Thief is Monster,Thief
Thrasher is Monster,thrasher
town guard,town guard
Troll is Monster,troll
tusked skeleton,tusked skeleton
CaveOrc is Monster,utom
Orc is Monster,utomca
OrcWizard is Monster,utomya
ve'xeochicatl,ve'xeochicatl
DragonFlyPet is Monster,vo'huzotz
Yeti is Monster,yeti
Ant is Monster,yokinich
Frogman is Monster,yozotz
Zombie is Monster,zombie
